482,87,48,6,54
483,89,45,9,54
484,85,48,9,54
485,91,48,12,56
486,93,50,9,58
487,93,45,12,55
488,93,50,9,58
489,93,45,12,55
490,93,50,9,58
491,91,48,12,56
492,91,43,9,53
493,91,43,9,53
494,93,45,6,54
495,95,43,15,55
496,93,50,9,58
497,93,45,12,55
498,96,45,18,57
499,96,45,30,58
500,93,52,24,61
501,96,50,32,61
502,100,50,30,62
503,102,48,32,62
504,104,50,30,63
505,104,50,35,64
506,102,57,27,67
507,109,55,35,68
508,112,57,24,69
509,119,57,18,71
510,123,62,9,74
511,126,59,18,74
512,126,64,12,76
513,129,64,18,78
514,128,71,15,81
515,132,66,32,81
516,136,66,24,82
517,138,66,18,82
518,140,68,21,84
519,138,68,27,84
520,134,73,24,85
521,134,71,27,84
522,135,62,35,80
523,132,66,32,81
524,129,62,32,78
525,125,62,27,76
526,123,57,27,73
527,117,57,24,71
528,114,52,30,68
529,112,50,38,67
530,111,48,30,64
531,107,45,27,61
532,102,45,18,58
533,98,48,4,57
534,93,45,6,54
535,89,45,9,54
536,81,43,6,50
537,75,45,9,49
538,71,40,12,46
539,68,40,15,45
540,71,38,15,45
541,66,38,15,43
542,64,40,4,43
543,62,38,2,41
544,62,38,2,41
545,62,38,2,41
546,62,32,6,38
547,64,32,4,38
548,64,35,4,40
549,62,32,6,38
550,57,38,4,39
551,55,35,6,37
552,57,32,6,36
553,57,38,4,39
554,64,35,9,40
555,62,32,21,39
556,59,40,6,41
557,62,38,2,41
558,66,38,6,42
559,71,38,15,45
560,71,43,12,47
561,71,43,12,47
562,73,43,12,48
563,79,40,15,48
564,81,43,12,50
565,81,43,12,50
566,81,43,12,50
567,85,45,9,52
568,91,43,9,53
569,93,45,12,55
570,96,45,24,57
571,98,48,32,61
572,104,50,30,63
573,104,50,30,63
574,102,52,27,64
575,104,52,27,64
576,107,52,27,65
577,109,50,27,65
578,111,52,24,66
579,111,52,30,67
580,112,55,27,68
581,112,55,27,68
582,112,57,24,69
583,115,55,27,69
584,119,57,24,71
585,122,55,30,72
586,120,64,27,76
587,123,64,38,78
588,125,66,35,80
589,128,64,35,79
590,126,73,15,82
591,128,71,9,80
592,134,66,12,80
593,135,68,15,81
594,136,68,21,82
595,138,71,24,85
596,143,64,30,83
597,138,66,35,83
598,134,62,35,80
599,129,64,35,80
600,129,59,35,77
601,125,59,30,75
602,122,55,24,71
603,114,57,18,69
604,107,57,21,67
605,104,55,24,66
606,105,43,24,59
607,93,45,12,55
608,87,43,12,52
609,81,48,12,53
610,79,45,12,51
611,77,43,15,49
612,75,35,15,44
613,71,38,15,45
614,66,32,9,39
615,62,32,6,38
616,59,35,4,38
617,57,32,6,36
618,55,35,6,37
619,57,38,4,39
620,57,43,4,42
621,62,43,9,44
622,64,45,6,46
623,68,40,9,44
624,66,43,12,46
625,71,43,18,48
626,73,45,15,49
627,75,45,15,50
628,81,48,12,53
629,85,43,12,52
630,85,45,9,52
631,83,45,15,52
632,81,48,9,53
633,83,45,9,52
634,81,48,12,53
635,81,43,12,50
636,79,40,9,48
637,77,43,9,49
638,73,43,12,48
639,71,40,12,46
640,71,40,12,46
641,68,40,15,45
642,68,40,4,44
643,64,40,1,42
644,64,40,4,43
645,64,40,9,43
646,68,40,9,44
647,68,40,15,45
648,71,43,12,47
649,73,43,12,48
650,77,43,9,49
651,77,43,9,49
652,79,45,9,51
653,81,43,12,50
654,85,48,4,54
655,85,48,4,54
656,87,48,6,54
657,87,48,12,55
658,87,48,12,55
659,87,48,12,55
660,91,48,12,56
661,93,45,12,55
662,96,45,12,56
663,93,43,15,54
664,87,43,12,52
665,89,40,6,50
666,91,48,6,56
667,89,45,15,54
668,89,45,15,54
669,83,45,15,52
670,81,48,12,53
671,83,45,6,51
672,87,43,6,51
673,81,43,6,50
674,75,45,9,49
675,73,43,15,48
676,75,35,15,44
677,71,38,15,45
678,64,40,15,44
679,66,38,15,43
680,71,35,12,43
681,62,38,12,42
682,55,35,15,38
683,55,35,15,38
684,57,32,12,37
685,57,32,6,36
686,57,32,6,36
687,57,32,6,36
688,57,27,15,34
689,55,30,27,37
690,52,32,12,35
691,52,32,9,35
692,50,35,2,35
693,55,35,2,37
694,59,35,9,39
695,59,35,21,40
696,57,38,18,41
697,62,38,18,42
698,64,40,9,43
699,66,38,12,43
700,68,38,6,43
701,66,38,2,42
702,66,35,6,40
703,68,35,12,42
704,66,38,12,43
705,68,38,9,43
706,71,40,9,45
707,68,38,9,43
708,64,40,9,43
709,68,40,15,45
710,71,40,12,46
711,73,38,15,45
712,73,38,9,45
713,71,40,9,45
714,71,43,6,47
715,71,40,12,46
716,71,43,12,47
717,68,40,15,45
718,71,38,15,45
719,66,38,15,43
720,68,35,12,42
721,66,32,15,40
722,62,38,12,42
723,59,35,15,39
724,59,35,9,39
725,57,38,4,39
726,57,32,6,36
727,57,32,6,36
728,59,35,9,39
729,59,35,21,40
730,64,30,12,38
731,59,35,4,38
732,59,40,6,41
733,62,38,12,42
734,71,35,6,42
735,66,35,4,40
736,66,38,6,42
737,68,35,12,42
738,66,38,12,43
739,62,38,12,42
740,57,32,18,37
741,59,30,24,37
742,64,30,12,38
743,57,32,6,36
744,57,32,12,37
745,55,35,15,38
746,55,35,6,37
747,59,30,4,35
748,62,30,2,36
749,59,30,6,35
750,57,32,6,36
751,57,32,6,36
752,59,30,6,35
753,59,30,6,35
754,59,35,9,39
755,55,35,15,38
756,57,32,12,37
757,55,35,6,37
758,59,35,9,39
759,59,35,21,40
